directory,size_bytes,file_count
data,348165322,279
data/catalog,3420179,5
data/sources,344745143,274
docs,47698,5
docs/superpowers,2412,1
public,648960626,445
public/content,607281687,426
public/data,33962513,5
public/fonts,473412,4
public/images,6955266,8
scripts,142138,16
scripts/assets,26345,3
scripts/generate,45682,3
scripts/lib,5839,2
scripts/process,24706,2
scripts/utils,34227,2
scripts/validate,2132,2
src,590239,72
src/app,431891,37
src/components,86511,15
src/config,2275,3
src/data,7478,1
src/lib,58952,14
src/types,3132,2
