Video Title,Link,Start Time,End Time,Text,Speaker
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:00:04.318,00:00:57.019,"Allahu Akbar
Allahu Akbar
Allahu Akbar
Allahu Akbar
La Elaha Ella Allah",Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:00.466,00:01:18.433,La Elaha Ella Allah,Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:21.985,00:01:26.743,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:26.743,00:01:31.004,"We praise God and we bear witness that there is only One God,",Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:31.004,00:01:32.869,Allah.,Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:37.732,00:01:42.704,I want to talk today about the whole idea behind our existence here.,Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:42.704,00:01:46.380,It is very important to define our goals.,Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:46.380,00:01:58.706,The distinction between God's kingdom,Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:01:58.706,00:02:04.918,and Satan's kingdom,Dr. Rashad Khalifa
23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,https://www.youtube.com/watch?v=hnLrKHqOs18,00:02:04.918,00:02:06.607,is the whole idea,Dr. Rashad Khalifa
